epsilon,n1d_max,nstep,c,nlevel,energy
0.1,10,1,-0.08314473609580508,0,-0.7859575369232703
0.1,10,1,-0.08314473609580508,1,3.675647405238897
0.1,10,1,-0.08314473609580508,2,8.027869088904954
0.1,10,1,-0.08314473609580508,3,8.027869088904978
0.1,10,1,-0.08314473609580508,4,8.027869088905003
0.1,10,1,-0.08314473609580508,5,8.027869088905064
0.1,10,1,-0.08314473609580508,6,8.027869088905202
0.1,10,1,-0.08314473609580508,7,11.390801846424036
0.1,10,1,-0.08314473609580508,8,16.055738177809893
0.1,10,1,-0.08314473609580508,9,16.055738177809896
0.1,10,1,-0.08314473609580508,10,16.055738177809907
0.1,10,1,-0.08314473609580508,11,16.05573817781007
0.1,10,1,-0.08314473609580508,12,16.055738177810127
0.1,10,1,-0.08314473609580508,13,16.05573817781023
0.1,10,1,-0.08314473609580508,14,16.055738177810234
0.1,10,1,-0.08314473609580508,15,16.055738177810248
0.1,10,1,-0.08314473609580508,16,16.055738177810273
0.1,10,1,-0.08314473609580508,17,16.055738177810273
0.1,10,1,-0.08314473609580508,18,16.055738177810316
0.1,10,1,-0.08314473609580508,19,20.607939283291746
0.1,10,1,-0.08314473609580508,20,24.08360726671509
0.1,10,1,-0.08314473609580508,21,24.083607266715145
0.1,10,1,-0.08314473609580508,22,24.083607266715216
0.1,10,1,-0.08314473609580508,23,24.083607266715294
0.1,10,1,-0.08314473609580508,24,24.083607266715305
0.1,10,1,-0.08314473609580508,25,24.083607266715372
0.1,10,1,-0.08314473609580508,26,24.083607266715507
0.1,10,1,-0.08314473609580508,27,26.62672440098785
0.1,10,1,-0.08314473609580508,28,29.045103220893274
0.1,10,1,-0.08314473609580508,29,29.045103220893306
0.1,10,1,-0.08314473609580508,30,29.04510322089332
0.1,10,1,-0.08314473609580508,31,29.045103220893388
0.1,10,1,-0.08314473609580508,32,29.04510322089342
0.1,10,1,-0.08314473609580508,33,31.13211755696508
0.1,10,1,-0.08314473609580508,34,37.07297230979811
0.1,10,1,-0.08314473609580508,35,37.07297230979814
0.1,10,1,-0.08314473609580508,36,37.07297230979818
0.1,10,1,-0.08314473609580508,37,37.07297230979821
0.1,10,1,-0.08314473609580508,38,37.07297230979826
0.1,10,1,-0.08314473609580508,39,37.07297230979827
0.1,10,1,-0.08314473609580508,40,37.07297230979828
0.1,10,1,-0.08314473609580508,41,37.07297230979838
0.1,10,1,-0.08314473609580508,42,37.07297230979838
0.1,10,1,-0.08314473609580508,43,37.07297230979841
0.1,10,1,-0.08314473609580508,44,37.072972309798416
0.1,10,1,-0.08314473609580508,45,37.072972309798466
0.1,10,1,-0.08314473609580508,46,37.07297230979849
0.1,10,1,-0.08314473609580508,47,37.07297230979851
0.1,10,1,-0.08314473609580508,48,37.072972309798544
0.1,10,1,-0.08314473609580508,49,37.07297230979855
0.1,10,1,-0.08314473609580508,50,37.07297230979856
0.1,10,1,-0.08314473609580508,51,37.0729723097986
0.1,10,1,-0.08314473609580508,52,37.072972309798615
0.1,10,1,-0.08314473609580508,53,37.07297230979866
0.1,10,1,-0.08314473609580508,54,37.07297230979881
0.1,10,1,-0.08314473609580508,55,37.07297230979925
0.1,10,1,-0.08314473609580508,56,41.04683669128008
0.1,10,1,-0.08314473609580508,57,45.10084139870309
0.1,10,1,-0.08314473609580508,58,45.10084139870317
0.1,10,1,-0.08314473609580508,59,45.10084139870321
0.1,10,1,-0.08314473609580508,0,-0.7859575369232703
0.1,10,1,-0.08314473609580508,1,3.675647405238897
0.1,10,1,-0.08314473609580508,2,8.027869088904954
0.1,10,1,-0.08314473609580508,3,8.027869088904978
0.1,10,1,-0.08314473609580508,4,8.027869088905003
0.1,10,1,-0.08314473609580508,5,8.027869088905064
0.1,10,1,-0.08314473609580508,6,8.027869088905202
0.1,10,1,-0.08314473609580508,7,11.390801846424036
0.1,10,1,-0.08314473609580508,8,16.055738177809893
0.1,10,1,-0.08314473609580508,9,16.055738177809896
0.1,10,1,-0.08314473609580508,10,16.055738177809907
0.1,10,1,-0.08314473609580508,11,16.05573817781007
0.1,10,1,-0.08314473609580508,12,16.055738177810127
0.1,10,1,-0.08314473609580508,13,16.05573817781023
0.1,10,1,-0.08314473609580508,14,16.055738177810234
0.1,10,1,-0.08314473609580508,15,16.055738177810248
0.1,10,1,-0.08314473609580508,16,16.055738177810273
0.1,10,1,-0.08314473609580508,17,16.055738177810273
0.1,10,1,-0.08314473609580508,18,16.055738177810316
0.1,10,1,-0.08314473609580508,19,20.607939283291746
0.1,10,1,-0.08314473609580508,20,24.08360726671509
0.1,10,1,-0.08314473609580508,21,24.083607266715145
0.1,10,1,-0.08314473609580508,22,24.083607266715216
0.1,10,1,-0.08314473609580508,23,24.083607266715294
0.1,10,1,-0.08314473609580508,24,24.083607266715305
0.1,10,1,-0.08314473609580508,25,24.083607266715372
0.1,10,1,-0.08314473609580508,26,24.083607266715507
0.1,10,1,-0.08314473609580508,27,26.62672440098785
0.1,10,1,-0.08314473609580508,28,29.045103220893274
0.1,10,1,-0.08314473609580508,29,29.045103220893306
0.1,10,1,-0.08314473609580508,30,29.04510322089332
0.1,10,1,-0.08314473609580508,31,29.045103220893388
0.1,10,1,-0.08314473609580508,32,29.04510322089342
0.1,10,1,-0.08314473609580508,33,31.13211755696508
0.1,10,1,-0.08314473609580508,34,37.07297230979811
0.1,10,1,-0.08314473609580508,35,37.07297230979814
0.1,10,1,-0.08314473609580508,36,37.07297230979818
0.1,10,1,-0.08314473609580508,37,37.07297230979821
0.1,10,1,-0.08314473609580508,38,37.07297230979826
0.1,10,1,-0.08314473609580508,39,37.07297230979827
0.1,10,1,-0.08314473609580508,40,37.07297230979828
0.1,10,1,-0.08314473609580508,41,37.07297230979838
0.1,10,1,-0.08314473609580508,42,37.07297230979838
0.1,10,1,-0.08314473609580508,43,37.07297230979841
0.1,10,1,-0.08314473609580508,44,37.072972309798416
0.1,10,1,-0.08314473609580508,45,37.072972309798466
0.1,10,1,-0.08314473609580508,46,37.07297230979849
0.1,10,1,-0.08314473609580508,47,37.07297230979851
0.1,10,1,-0.08314473609580508,48,37.072972309798544
0.1,10,1,-0.08314473609580508,49,37.07297230979855
0.1,10,1,-0.08314473609580508,50,37.07297230979856
0.1,10,1,-0.08314473609580508,51,37.0729723097986
0.1,10,1,-0.08314473609580508,52,37.072972309798615
0.1,10,1,-0.08314473609580508,53,37.07297230979866
0.1,10,1,-0.08314473609580508,54,37.07297230979881
0.1,10,1,-0.08314473609580508,55,37.07297230979925
0.1,10,1,-0.08314473609580508,56,41.04683669128008
0.1,10,1,-0.08314473609580508,57,45.10084139870309
0.1,10,1,-0.08314473609580508,58,45.10084139870317
0.1,10,1,-0.08314473609580508,59,45.10084139870321
