c,energy,epsilon,n1d_max,nlevel,nstep
-0.08327891299320885,-0.7965017141078463,0.1,10,0,1
-0.08327891299320885,3.643983064753146,0.1,10,1,1
-0.08327891299320885,8.027869088904815,0.1,10,2,1
-0.08327891299320885,8.027869088904925,0.1,10,3,1
-0.08327891299320885,8.027869088904934,0.1,10,4,1
-0.08327891299320885,8.027869088905037,0.1,10,5,1
-0.08327891299320885,8.027869088905055,0.1,10,6,1
-0.08327891299320885,11.37605802875042,0.1,10,7,1
-0.08327891299320885,16.05573817780979,0.1,10,8,1
-0.08327891299320885,16.055738177809843,0.1,10,9,1
-0.08327891299320885,16.055738177809896,0.1,10,10,1
-0.08327891299320885,16.055738177809992,0.1,10,11,1
-0.08327891299320885,16.055738177810078,0.1,10,12,1
-0.08327891299320885,16.055738177810124,0.1,10,13,1
-0.08327891299320885,16.055738177810202,0.1,10,14,1
-0.08327891299320885,16.055738177810213,0.1,10,15,1
-0.08327891299320885,16.055738177810234,0.1,10,16,1
-0.08327891299320885,16.055738177810262,0.1,10,17,1
-0.08327891299320885,16.05573817781033,0.1,10,18,1
-0.08327891299320885,20.595986098373494,0.1,10,19,1
-0.08327891299320885,24.08360726671512,0.1,10,20,1
-0.08327891299320885,24.083607266715383,0.1,10,21,1
-0.08327891299320885,24.083607266715553,0.1,10,22,1
-0.08327891299320885,24.083607266715557,0.1,10,23,1
-0.08327891299320885,24.083607266715557,0.1,10,24,1
-0.08327891299320885,24.08360726671556,0.1,10,25,1
-0.08327891299320885,24.08360726671565,0.1,10,26,1
-0.08327891299320885,26.61989384379604,0.1,10,27,1
-0.08327891299320885,29.04510322089302,0.1,10,28,1
-0.08327891299320885,29.04510322089314,0.1,10,29,1
-0.08327891299320885,29.045103220893235,0.1,10,30,1
-0.08327891299320885,29.04510322089351,0.1,10,31,1
-0.08327891299320885,29.04510322089355,0.1,10,32,1
-0.08327891299320885,31.12466384608107,0.1,10,33,1
-0.08327891299320885,37.072972309797834,0.1,10,34,1
-0.08327891299320885,37.07297230979821,0.1,10,35,1
-0.08327891299320885,37.07297230979823,0.1,10,36,1
-0.08327891299320885,37.072972309798246,0.1,10,37,1
-0.08327891299320885,37.07297230979826,0.1,10,38,1
-0.08327891299320885,37.07297230979827,0.1,10,39,1
-0.08327891299320885,37.07297230979829,0.1,10,40,1
-0.08327891299320885,37.07297230979835,0.1,10,41,1
-0.08327891299320885,37.07297230979836,0.1,10,42,1
-0.08327891299320885,37.07297230979837,0.1,10,43,1
-0.08327891299320885,37.072972309798374,0.1,10,44,1
-0.08327891299320885,37.072972309798374,0.1,10,45,1
-0.08327891299320885,37.072972309798395,0.1,10,46,1
-0.08327891299320885,37.07297230979841,0.1,10,47,1
-0.08327891299320885,37.07297230979843,0.1,10,48,1
-0.08327891299320885,37.07297230979843,0.1,10,49,1
-0.08327891299320885,37.07297230979846,0.1,10,50,1
-0.08327891299320885,37.072972309798466,0.1,10,51,1
-0.08327891299320885,37.07297230979852,0.1,10,52,1
-0.08327891299320885,37.07297230979853,0.1,10,53,1
-0.08327891299320885,37.07297230979867,0.1,10,54,1
-0.08327891299320885,37.0729723097987,0.1,10,55,1
-0.08327891299320885,37.07297230979892,0.1,10,56,1
-0.08327891299320885,41.04113900356306,0.1,10,57,1
-0.08327891299320885,45.100841398703125,0.1,10,58,1
-0.08327891299320885,45.10084139870314,0.1,10,59,1
-0.08327891299320885,-0.7965017141078463,0.1,10,0,1
-0.08327891299320885,3.643983064753146,0.1,10,1,1
-0.08327891299320885,8.027869088904815,0.1,10,2,1
-0.08327891299320885,8.027869088904925,0.1,10,3,1
-0.08327891299320885,8.027869088904934,0.1,10,4,1
-0.08327891299320885,8.027869088905037,0.1,10,5,1
-0.08327891299320885,8.027869088905055,0.1,10,6,1
-0.08327891299320885,11.37605802875042,0.1,10,7,1
-0.08327891299320885,16.05573817780979,0.1,10,8,1
-0.08327891299320885,16.055738177809843,0.1,10,9,1
-0.08327891299320885,16.055738177809896,0.1,10,10,1
-0.08327891299320885,16.055738177809992,0.1,10,11,1
-0.08327891299320885,16.055738177810078,0.1,10,12,1
-0.08327891299320885,16.055738177810124,0.1,10,13,1
-0.08327891299320885,16.055738177810202,0.1,10,14,1
-0.08327891299320885,16.055738177810213,0.1,10,15,1
-0.08327891299320885,16.055738177810234,0.1,10,16,1
-0.08327891299320885,16.055738177810262,0.1,10,17,1
-0.08327891299320885,16.05573817781033,0.1,10,18,1
-0.08327891299320885,20.595986098373494,0.1,10,19,1
-0.08327891299320885,24.08360726671512,0.1,10,20,1
-0.08327891299320885,24.083607266715383,0.1,10,21,1
-0.08327891299320885,24.083607266715553,0.1,10,22,1
-0.08327891299320885,24.083607266715557,0.1,10,23,1
-0.08327891299320885,24.083607266715557,0.1,10,24,1
-0.08327891299320885,24.08360726671556,0.1,10,25,1
-0.08327891299320885,24.08360726671565,0.1,10,26,1
-0.08327891299320885,26.61989384379604,0.1,10,27,1
-0.08327891299320885,29.04510322089302,0.1,10,28,1
-0.08327891299320885,29.04510322089314,0.1,10,29,1
-0.08327891299320885,29.045103220893235,0.1,10,30,1
-0.08327891299320885,29.04510322089351,0.1,10,31,1
-0.08327891299320885,29.04510322089355,0.1,10,32,1
-0.08327891299320885,31.12466384608107,0.1,10,33,1
-0.08327891299320885,37.072972309797834,0.1,10,34,1
-0.08327891299320885,37.07297230979821,0.1,10,35,1
-0.08327891299320885,37.07297230979823,0.1,10,36,1
-0.08327891299320885,37.072972309798246,0.1,10,37,1
-0.08327891299320885,37.07297230979826,0.1,10,38,1
-0.08327891299320885,37.07297230979827,0.1,10,39,1
-0.08327891299320885,37.07297230979829,0.1,10,40,1
-0.08327891299320885,37.07297230979835,0.1,10,41,1
-0.08327891299320885,37.07297230979836,0.1,10,42,1
-0.08327891299320885,37.07297230979837,0.1,10,43,1
-0.08327891299320885,37.072972309798374,0.1,10,44,1
-0.08327891299320885,37.072972309798374,0.1,10,45,1
-0.08327891299320885,37.072972309798395,0.1,10,46,1
-0.08327891299320885,37.07297230979841,0.1,10,47,1
-0.08327891299320885,37.07297230979843,0.1,10,48,1
-0.08327891299320885,37.07297230979843,0.1,10,49,1
-0.08327891299320885,37.07297230979846,0.1,10,50,1
-0.08327891299320885,37.072972309798466,0.1,10,51,1
-0.08327891299320885,37.07297230979852,0.1,10,52,1
-0.08327891299320885,37.07297230979853,0.1,10,53,1
-0.08327891299320885,37.07297230979867,0.1,10,54,1
-0.08327891299320885,37.0729723097987,0.1,10,55,1
-0.08327891299320885,37.07297230979892,0.1,10,56,1
-0.08327891299320885,41.04113900356306,0.1,10,57,1
-0.08327891299320885,45.100841398703125,0.1,10,58,1
-0.08327891299320885,45.10084139870314,0.1,10,59,1
-0.06659942251724921,-0.8642597011343437,0.08,12,0,1
-0.06659942251724921,4.0107126296010005,0.08,12,1,1
-0.06659942251724921,8.799298301253028,0.08,12,2,1
-0.06659942251724921,8.799298301253238,0.08,12,3,1
-0.06659942251724921,8.799298301253287,0.08,12,4,1
-0.06659942251724921,8.799298301253305,0.08,12,5,1
-0.06659942251724921,8.79929830125341,0.08,12,6,1
-0.06659942251724921,12.490353108909224,0.08,12,7,1
-0.06659942251724921,17.598596602506255,0.08,12,8,1
-0.06659942251724921,17.598596602506277,0.08,12,9,1
-0.06659942251724921,17.598596602506355,0.08,12,10,1
-0.06659942251724921,17.598596602506362,0.08,12,11,1
-0.06659942251724921,17.598596602506387,0.08,12,12,1
-0.06659942251724921,17.598596602506447,0.08,12,13,1
-0.06659942251724921,17.59859660250651,0.08,12,14,1
-0.06659942251724921,17.598596602506532,0.08,12,15,1
-0.06659942251724921,17.59859660250656,0.08,12,16,1
-0.06659942251724921,17.598596602506596,0.08,12,17,1
-0.06659942251724921,17.598596602506763,0.08,12,18,1
-0.06659942251724921,22.685224773798424,0.08,12,19,1
-0.06659942251724921,26.39789490375951,0.08,12,20,1
-0.06659942251724921,26.39789490375953,0.08,12,21,1
-0.06659942251724921,26.39789490375972,0.08,12,22,1
-0.06659942251724921,26.39789490375978,0.08,12,23,1
-0.06659942251724921,26.397894903759845,0.08,12,24,1
-0.06659942251724921,26.397894903759852,0.08,12,25,1
-0.06659942251724921,26.397894903760026,0.08,12,26,1
-0.06659942251724921,29.651722370481245,0.08,12,27,1
-0.06659942251724921,32.839428331231176,0.08,12,28,1
-0.06659942251724921,32.839428331231396,0.08,12,29,1
-0.06659942251724921,32.83942833123145,0.08,12,30,1
-0.06659942251724921,32.83942833123156,0.08,12,31,1
-0.06659942251724921,32.839428331232064,0.08,12,32,1
-0.06659942251724921,35.01627476860999,0.08,12,33,1
-0.06659942251724921,41.63872663248446,0.08,12,34,1
-0.06659942251724921,41.63872663248461,0.08,12,35,1
-0.06659942251724921,41.63872663248463,0.08,12,36,1
-0.06659942251724921,41.638726632484634,0.08,12,37,1
-0.06659942251724921,41.638726632484705,0.08,12,38,1
-0.06659942251724921,41.63872663248476,0.08,12,39,1
-0.06659942251724921,41.63872663248479,0.08,12,40,1
-0.06659942251724921,41.63872663248481,0.08,12,41,1
-0.06659942251724921,41.63872663248481,0.08,12,42,1
-0.06659942251724921,41.63872663248482,0.08,12,43,1
-0.06659942251724921,41.63872663248482,0.08,12,44,1
-0.06659942251724921,41.638726632484826,0.08,12,45,1
-0.06659942251724921,41.63872663248488,0.08,12,46,1
-0.06659942251724921,41.63872663248492,0.08,12,47,1
-0.06659942251724921,41.638726632484946,0.08,12,48,1
-0.06659942251724921,41.63872663248495,0.08,12,49,1
-0.06659942251724921,41.638726632485,0.08,12,50,1
-0.06659942251724921,41.63872663248504,0.08,12,51,1
-0.06659942251724921,41.63872663248505,0.08,12,52,1
-0.06659942251724921,41.63872663248507,0.08,12,53,1
-0.06659942251724921,41.63872663248509,0.08,12,54,1
-0.06659942251724921,41.638726632485124,0.08,12,55,1
-0.06659942251724921,41.638726632485245,0.08,12,56,1
-0.06659942251724921,46.04680450023126,0.08,12,57,1
-0.06659942251724921,50.43802493373754,0.08,12,58,1
-0.06659942251724921,50.43802493373761,0.08,12,59,1
-0.08327891299320885,-0.7965017141078463,0.1,10,0,1
-0.08327891299320885,3.643983064753146,0.1,10,1,1
-0.08327891299320885,8.027869088904815,0.1,10,2,1
-0.08327891299320885,8.027869088904925,0.1,10,3,1
-0.08327891299320885,8.027869088904934,0.1,10,4,1
-0.08327891299320885,8.027869088905037,0.1,10,5,1
-0.08327891299320885,8.027869088905055,0.1,10,6,1
-0.08327891299320885,11.37605802875042,0.1,10,7,1
-0.08327891299320885,16.05573817780979,0.1,10,8,1
-0.08327891299320885,16.055738177809843,0.1,10,9,1
-0.08327891299320885,16.055738177809896,0.1,10,10,1
-0.08327891299320885,16.055738177809992,0.1,10,11,1
-0.08327891299320885,16.055738177810078,0.1,10,12,1
-0.08327891299320885,16.055738177810124,0.1,10,13,1
-0.08327891299320885,16.055738177810202,0.1,10,14,1
-0.08327891299320885,16.055738177810213,0.1,10,15,1
-0.08327891299320885,16.055738177810234,0.1,10,16,1
-0.08327891299320885,16.055738177810262,0.1,10,17,1
-0.08327891299320885,16.05573817781033,0.1,10,18,1
-0.08327891299320885,20.595986098373494,0.1,10,19,1
-0.08327891299320885,24.08360726671512,0.1,10,20,1
-0.08327891299320885,24.083607266715383,0.1,10,21,1
-0.08327891299320885,24.083607266715553,0.1,10,22,1
-0.08327891299320885,24.083607266715557,0.1,10,23,1
-0.08327891299320885,24.083607266715557,0.1,10,24,1
-0.08327891299320885,24.08360726671556,0.1,10,25,1
-0.08327891299320885,24.08360726671565,0.1,10,26,1
-0.08327891299320885,26.61989384379604,0.1,10,27,1
-0.08327891299320885,29.04510322089302,0.1,10,28,1
-0.08327891299320885,29.04510322089314,0.1,10,29,1
-0.08327891299320885,29.045103220893235,0.1,10,30,1
-0.08327891299320885,29.04510322089351,0.1,10,31,1
-0.08327891299320885,29.04510322089355,0.1,10,32,1
-0.08327891299320885,31.12466384608107,0.1,10,33,1
-0.08327891299320885,37.072972309797834,0.1,10,34,1
-0.08327891299320885,37.07297230979821,0.1,10,35,1
-0.08327891299320885,37.07297230979823,0.1,10,36,1
-0.08327891299320885,37.072972309798246,0.1,10,37,1
-0.08327891299320885,37.07297230979826,0.1,10,38,1
-0.08327891299320885,37.07297230979827,0.1,10,39,1
-0.08327891299320885,37.07297230979829,0.1,10,40,1
-0.08327891299320885,37.07297230979835,0.1,10,41,1
-0.08327891299320885,37.07297230979836,0.1,10,42,1
-0.08327891299320885,37.07297230979837,0.1,10,43,1
-0.08327891299320885,37.072972309798374,0.1,10,44,1
-0.08327891299320885,37.072972309798374,0.1,10,45,1
-0.08327891299320885,37.072972309798395,0.1,10,46,1
-0.08327891299320885,37.07297230979841,0.1,10,47,1
-0.08327891299320885,37.07297230979843,0.1,10,48,1
-0.08327891299320885,37.07297230979843,0.1,10,49,1
-0.08327891299320885,37.07297230979846,0.1,10,50,1
-0.08327891299320885,37.072972309798466,0.1,10,51,1
-0.08327891299320885,37.07297230979852,0.1,10,52,1
-0.08327891299320885,37.07297230979853,0.1,10,53,1
-0.08327891299320885,37.07297230979867,0.1,10,54,1
-0.08327891299320885,37.0729723097987,0.1,10,55,1
-0.08327891299320885,37.07297230979892,0.1,10,56,1
-0.08327891299320885,41.04113900356306,0.1,10,57,1
-0.08327891299320885,45.100841398703125,0.1,10,58,1
-0.08327891299320885,45.10084139870314,0.1,10,59,1
-0.06659942251724921,-0.8642597011343437,0.08,12,0,1
-0.06659942251724921,4.0107126296010005,0.08,12,1,1
-0.06659942251724921,8.799298301253028,0.08,12,2,1
-0.06659942251724921,8.799298301253238,0.08,12,3,1
-0.06659942251724921,8.799298301253287,0.08,12,4,1
-0.06659942251724921,8.799298301253305,0.08,12,5,1
-0.06659942251724921,8.79929830125341,0.08,12,6,1
-0.06659942251724921,12.490353108909224,0.08,12,7,1
-0.06659942251724921,17.598596602506255,0.08,12,8,1
-0.06659942251724921,17.598596602506277,0.08,12,9,1
-0.06659942251724921,17.598596602506355,0.08,12,10,1
-0.06659942251724921,17.598596602506362,0.08,12,11,1
-0.06659942251724921,17.598596602506387,0.08,12,12,1
-0.06659942251724921,17.598596602506447,0.08,12,13,1
-0.06659942251724921,17.59859660250651,0.08,12,14,1
-0.06659942251724921,17.598596602506532,0.08,12,15,1
-0.06659942251724921,17.59859660250656,0.08,12,16,1
-0.06659942251724921,17.598596602506596,0.08,12,17,1
-0.06659942251724921,17.598596602506763,0.08,12,18,1
-0.06659942251724921,22.685224773798424,0.08,12,19,1
-0.06659942251724921,26.39789490375951,0.08,12,20,1
-0.06659942251724921,26.39789490375953,0.08,12,21,1
-0.06659942251724921,26.39789490375972,0.08,12,22,1
-0.06659942251724921,26.39789490375978,0.08,12,23,1
-0.06659942251724921,26.397894903759845,0.08,12,24,1
-0.06659942251724921,26.397894903759852,0.08,12,25,1
-0.06659942251724921,26.397894903760026,0.08,12,26,1
-0.06659942251724921,29.651722370481245,0.08,12,27,1
-0.06659942251724921,32.839428331231176,0.08,12,28,1
-0.06659942251724921,32.839428331231396,0.08,12,29,1
-0.06659942251724921,32.83942833123145,0.08,12,30,1
-0.06659942251724921,32.83942833123156,0.08,12,31,1
-0.06659942251724921,32.839428331232064,0.08,12,32,1
-0.06659942251724921,35.01627476860999,0.08,12,33,1
-0.06659942251724921,41.63872663248446,0.08,12,34,1
-0.06659942251724921,41.63872663248461,0.08,12,35,1
-0.06659942251724921,41.63872663248463,0.08,12,36,1
-0.06659942251724921,41.638726632484634,0.08,12,37,1
-0.06659942251724921,41.638726632484705,0.08,12,38,1
-0.06659942251724921,41.63872663248476,0.08,12,39,1
-0.06659942251724921,41.63872663248479,0.08,12,40,1
-0.06659942251724921,41.63872663248481,0.08,12,41,1
-0.06659942251724921,41.63872663248481,0.08,12,42,1
-0.06659942251724921,41.63872663248482,0.08,12,43,1
-0.06659942251724921,41.63872663248482,0.08,12,44,1
-0.06659942251724921,41.638726632484826,0.08,12,45,1
-0.06659942251724921,41.63872663248488,0.08,12,46,1
-0.06659942251724921,41.63872663248492,0.08,12,47,1
-0.06659942251724921,41.638726632484946,0.08,12,48,1
-0.06659942251724921,41.63872663248495,0.08,12,49,1
-0.06659942251724921,41.638726632485,0.08,12,50,1
-0.06659942251724921,41.63872663248504,0.08,12,51,1
-0.06659942251724921,41.63872663248505,0.08,12,52,1
-0.06659942251724921,41.63872663248507,0.08,12,53,1
-0.06659942251724921,41.63872663248509,0.08,12,54,1
-0.06659942251724921,41.638726632485124,0.08,12,55,1
-0.06659942251724921,41.638726632485245,0.08,12,56,1
-0.06659942251724921,46.04680450023126,0.08,12,57,1
-0.06659942251724921,50.43802493373754,0.08,12,58,1
-0.06659942251724921,50.43802493373761,0.08,12,59,1
-0.041599020886776174,-0.7965035361372882,0.05,20,0,1
-0.041599020886776174,3.7943189663907524,0.05,20,1,1
-0.041599020886776174,8.229253250078983,0.05,20,2,1
-0.041599020886776174,8.229253250078985,0.05,20,3,1
-0.041599020886776174,8.229253250079006,0.05,20,4,1
-0.041599020886776174,8.22925325007903,0.05,20,5,1
-0.041599020886776174,8.22925325007919,0.05,20,6,1
-0.041599020886776174,11.737949164649246,0.05,20,7,1
-0.041599020886776174,16.458506500157878,0.05,20,8,1
-0.041599020886776174,16.458506500157903,0.05,20,9,1
-0.041599020886776174,16.4585065001581,0.05,20,10,1
-0.041599020886776174,16.458506500158496,0.05,20,11,1
-0.041599020886776174,16.458506500158514,0.05,20,12,1
-0.041599020886776174,16.458506500158524,0.05,20,13,1
-0.041599020886776174,16.45850650015857,0.05,20,14,1
-0.041599020886776174,16.458506500158585,0.05,20,15,1
-0.041599020886776174,16.45850650015862,0.05,20,16,1
-0.041599020886776174,16.45850650015865,0.05,20,17,1
-0.041599020886776174,16.4585065001589,0.05,20,18,1
-0.041599020886776174,21.394384150307822,0.05,20,19,1
-0.041599020886776174,24.68775975023749,0.05,20,20,1
-0.041599020886776174,24.687759750237923,0.05,20,21,1
-0.041599020886776174,24.687759750238033,0.05,20,22,1
-0.041599020886776174,24.687759750238037,0.05,20,23,1
-0.041599020886776174,24.687759750238182,0.05,20,24,1
-0.041599020886776174,24.687759750238197,0.05,20,25,1
-0.041599020886776174,24.687759750238268,0.05,20,26,1
-0.041599020886776174,28.452780644695306,0.05,20,27,1
-0.041599020886776174,32.1114763556196,0.05,20,28,1
-0.041599020886776174,32.111476355620084,0.05,20,29,1
-0.041599020886776174,32.1114763556203,0.05,20,30,1
-0.041599020886776174,32.11147635562047,0.05,20,31,1
-0.041599020886776174,32.111476355620546,0.05,20,32,1
-0.041599020886776174,34.07886478083302,0.05,20,33,1
-0.041599020886776174,40.3407296056988,0.05,20,34,1
-0.041599020886776174,40.34072960569885,0.05,20,35,1
-0.041599020886776174,40.34072960569914,0.05,20,36,1
-0.041599020886776174,40.34072960569937,0.05,20,37,1
-0.041599020886776174,40.34072960569949,0.05,20,38,1
-0.041599020886776174,40.3407296056995,0.05,20,39,1
-0.041599020886776174,40.340729605699515,0.05,20,40,1
-0.041599020886776174,40.34072960569953,0.05,20,41,1
-0.041599020886776174,40.340729605699586,0.05,20,42,1
-0.041599020886776174,40.34072960569959,0.05,20,43,1
-0.041599020886776174,40.34072960569962,0.05,20,44,1
-0.041599020886776174,40.34072960569964,0.05,20,45,1
-0.041599020886776174,40.34072960569972,0.05,20,46,1
-0.041599020886776174,40.3407296056998,0.05,20,47,1
-0.041599020886776174,40.34072960569982,0.05,20,48,1
-0.041599020886776174,40.34072960569998,0.05,20,49,1
-0.041599020886776174,40.34072960570018,0.05,20,50,1
-0.041599020886776174,40.34072960570022,0.05,20,51,1
-0.041599020886776174,40.34072960570032,0.05,20,52,1
-0.041599020886776174,40.34072960570054,0.05,20,53,1
-0.041599020886776174,44.57395589603604,0.05,20,54,1
-0.041599020886776174,48.569982855777674,0.05,20,55,1
-0.041599020886776174,48.56998285577838,0.05,20,56,1
-0.041599020886776174,48.56998285577842,0.05,20,57,1
-0.041599020886776174,48.56998285577844,0.05,20,58,1
-0.041599020886776174,48.56998285577876,0.05,20,59,1
